No,Review
806,"Kecewa... Saya belanja pas waktu HARBOLNAS, tiba² pesanan dibatalkan oleh penjual,,kok pihak Shopee gak ada respon ya...sudah gt duitnya dikrmbalikan kena biaya ADM pula... Jadi saya sebagai konsumen sudah dirugikan....."
807,Dapat email habis penyelesaian pesanan akun anda di hapus ...apa salah saya ya... padahal sering belanja ya lancar ...jadi kecewa sama shopee yang tiba tiba menonaktifkan akun shopee saya
808,"Kecewa sama shopee, g ada lagi opsi pengiriman kaya dulu. yang ada ongkir mkain mahal. Cari yang laen aja lah. Ongkir lebih masuk akal."
809,"Kecewa sama shopee Wktu itu saya beli kuota 3 dengan pakait AON 6 GB seharga 39k, udh nunggu lama eh yang dapat malah pakait Add On 10 GB cuma 1 hari. Kampret, di ajuin untuk pengembalian dana sampai sekarang gk di gubris2 Terus wktu itu pernah ngisi pulsa 5000 smartfren, kata adekk pulsanya gk sampai walau di sistem udh di kirim katanya. Di ajuin untuk pengembalian dana juga gk di gubris. Parahhhhhh"
810,"Harus pinter2 milih toko untuk dapat barang murah tapi bagus, suka dengan free ongkir untuk semua toko nya, shopee sering2 ya bikin promo free ongkir nya karenaa kirim ke lokasi aku mahal banget kalo ongkirnya."
811,Makin mantap lah sekarang shopee
812,"Saya benar2 kecewa dengan aplikasi shopee ini karena pihak tim shopee sangat lambat dalam menyelesaikan kendala konsumen setiap kali konsumen komplen tidak ditanggapi dengan baik, dan suka PHP pihak konsumen, dan ketika konsumen masih menjawab chat tentang komplen tersebut malah tiba2 chat dihentikan tanpa memberitahu terlebih dahulu, dimana etika kalaian sebagai pihak tim shopee? ????????????"
813,cashback 100% maskimal seribu perak cashback 1% maskimal 100k edzan emang shopee kasih promo
814,Semenjak Shopee tanam bisa nyuri air.. Saya jadi g suka Shopee.. Saya yang biasanya panen koin 2 hari jadi 5 hari gara2 dimaling terus... Inimah ngajarin anak orang buat jadi pencuri... Udh mah yang nyuri g nyiram kebun saya... Masih mending kalau nyuri tapi disiram kebun saya... Untuk Shopee tolong hps lagi fasilitas buat nyuri air !!! Saya bakal kasih bintang 5 kalau fasilitas buat nyuri air di hapus!!! Sama sekarang jarang banget voucher gratis ongkir tapi buat tunai...shopee jangan pelit donk!!!
815,Belanja tenang dirumah dengan kemudahan dr shopee????
816,aku belanja Terussss di shoppe..pas ganti hp download ulang ga bisa log in nangiss dehhh gueh
817,"Pengalaman pemesanan pertama kali berkesan, walaupun coba2 untuk produk Rp. 1 nya tapi beneran loh dikirim dengan terkemas baik produk Rp. 1 nya?????????? Makasih Shopee, bakal banyak lirik2 ke sini deh ????"
818,"performa shopee sekarang menurun, lelet, padahal jaringan saya bagus tapi buat check out aja susah. tolong dimaksimalkan lagi"
819,"jadi agak2 ngeselin yah.. Nyari satu barang aja sampe setengah jam saking lemot nya. Aku suka Shopee yang dulu. jangan bilang blom di apdet aplikasi ya, selalu d apdet soalnya akutu."
820,Saya sebagai pelanggan sangat puas dengan shopee tetapi tolong ditambahkan fitur saat checkout kita masih bisa menggunakan shopepay walau saldonya kurang dan kekurangannya bisa dibayar melalui COD sekian dari saya terimakasih..............
821,Saya Mengajukan pengembalian Dana pada Pihak Shope dan Pengajuan Tersebut sudah disetujui sama penjual Tapi Kenapa Pihak Owner malah Tidak Menyetujui & Mengahapus pengajuan saya Hilang Duit saya Barang Pun Hanya dikirim Satu padahal Saya Beli 2 item Barang Mengecewakan
822,SHOPIE NYA GAK BISA D I B U K A
823,please buat shope bikin game yang menghasilkan koin dong note: bukan cuma shope tanam karena pas di goyang dapatnya sedikit plis lah bikin game kaya subway sur*t kek apa gimana yang penting menghasilkan koin hehe saran semoga di baca dan di realisasikan
824,Pengiriman cepat barang sesuai pesanan terimakasih shopee
825,"Ya Allah ngga ngerti Kemarin saya zakat via shopee dg pertimbangan himbauan pemerintah mengurangi interaksi Saya pilih shopee karena sepertinya jelas ada pakait untuk 4 orang, beserta nama masing2 Cukup meyakinkan ya? Lalu saya bayar via transfer dan berhasil 1 minggu kemudian di hari ke 2 lebaran saya chek akun kok ada dana nambah di shopee payku senilai zakat itu Ku telusuri ternyata dana zakatku dikembalikan ke situ Lemes dong artinya ramadhan ini kami sekeluarga ngga zakat"
826,"Shopee express standard= pengiriman lama, nggak update2"
827,Saya beli baju ditipu terus ????????shope kan banyak penipu
828,Mantap shopee terbaik
829,Bagus shopee membantuku dalam berjualan online
830,Belanja di shophie puas banget
831,"Hati hati banyak penjual yang menyeetakan nomor resi palsu, jadi hanya muncul nomor pelacakan tetapi barang blm dikirim ataupun dikemas sama sekali. Dan dari pihak shopee memfasilitasi hal tersebut dengan tidak menyertakan fitur batal beli."
832,Suka banget sama shopee
833,Masih berjalan mulus...belum ada kerugian...semoga kedepannya aku bisa dapat undian dari shopee...??
834,"Ribet2 mau ganti nomer aja harus ribet,apa saya sekolah hacker biar gampang ganti nomer akun shopee"
835,"Aplikasi shopee sudah tidak aman, sekarang sudah banyak penipu yang ngehack akun shopee oranglain, terus mengambil saldo shopeepay yang ada di akun shopee targetnya, kalau Tidak yaaa org yang ngehack itu membatalkan pesenan si targetnya terus uang yang dicairkan ke shopeepay langsung diambil sama org yang ngehack/penipu, pokoknya kalau ada org yang nelpon terus memberitahu ke kita kalau kita dapat hadiah voucher Giveaway, itu sudah alamat akun shopee kita sudah di hack sama penipu dan akn trjadi sstu pada akun kita"
836,Bravo Shopee..harus lebih profesional memilih Prodaks yang MURTAGUS ( Murah Tapi Bagus)...
837,"Kenapa setiap mau pakai voucher gratis ongkir sering banget ada bacaan ""kode voucher ini telah digunakan, silahkan masukan voucer lain"". Padahal voucher nya baru di klaim dan saya belum pernah make, semua gitu kecuali voucher gratis ongkir shopee pay. kalau gitu apa gunanya gratis ongkir yang laen"
838,"Maaf ya min, sy kurang stuju dengan prubahan setting jasa kirim. Sy jg sudah bc2 jawabn mimin di ulasan lain, tapi ttapi tidak melihat sisi manfaat"" untuk pembeli. Jasa kirim mmg bs diubah stlh checkout, namun biayanya akan typ sama, plus ini lebih ribet drpd yang dulu. Alasan biaya sesuai berat itu tgs ekspedisi, kenapa Shopee yang menentukn? Tombol mngubah jasa kirim jg sering trlmbt bhkn tidak muncul. Ptng ongkr mnml 30rb sudah lbh dr cukup. semoga Shopee bs kmbli sprti dulu untuk KENYAMANAN pembeli."
839,Shopee mantap pertahankan
840,belanja ga usah ribet di shopee ja
841,Belanja dishopee mudah cepat sesuai pesanan seneng deh...dah langganan ????????
842,Saya sangat senang belaja di shopee
843,Buka aplikasi shoppi susah buka gambar nya padahal sinyal penuh tapi pas buka aplikasi lain cepett
844,"APLIKASI RACUN PAS TANGGAL MUDA. BUT I LOVE shopee,SELALU MEMPERmudah SAAT AKU BELANJA??"
845,Shopee emang the best banget Semua harga terjangkau
846,Sekian lama belanja di shopee tidak pernah kecewa
847,"Shopee sekarang lbh sering suruh update terus.sekarang belanja di shopee kadang suka lemot kalau akut mo ngelacak lokasi barang sudah sampe mana,kadang masih di kemas padahal barang sudah di kirim sama penjual.lemot banget sekarang shopee,lama banget tampilin gambar2nya jadi mls duluan kalau mo bli.sekarang shopee gratis ongkirnya lbh banyak...Ulasan Lengkap"
848,Gratis ongkirnya tambah lagi yang bukan shope pay biar smangat belanja nya
849,ini mah cuman mau daftar nomor telepon gak bisa katanya sudah terdaftar! SHOPEE MAKAN UANG!!
850,"Kaga bagus shopee,masa akun w di bekuin ga bisa belanja lagi.parah"
851,"Sejauh ini, puas dengan aplikasi shoppe. Aplikasi sejuta umat. Tapi kenapa yang cod hanya bisa untuk 1 hari saja ya?"
852,Makasih shopee... Mantap..... Kali lain mau pesan lagi .... Bravo shopee..... Masker untuh halangi virus korona di dunia.... Wabil khusus di indonesia raya tercinta ini.... Hehe.......
853,Shoper banyak penipuan...hati²..kami sulit mengambil pengembalian dana...aplikasi shopee banyak penipuan...
854,"Game shopee mancing gak jelas, masa poinnya bukannya nambah malah kurang banyak, emang bener sih mancing (mancing kemarahan)"
855,"Dari dulu sudah pakai shoppe, emang mantep apalagi pas ada fitur paylater, tapi kok sekarang udh kagak ada yah?? Tolong dong pihak shoppe adain lagi fitur paylater karena itu sangat ngebantu sekali buat kami yang mau memulai usaha. Semoga bisa lebih baik lagi kedepannya ????"
856,"Shopee sangat lah membantu,terimaksih banyak shopee. semoga semakin maju"
857,"Sekarang shopee gk nyediain gratis ongkir??waktu itu shopee perasaan suka ngasih gratis ongkir terus sekarang malah jarang,, jadi belanja mahal di ongkir nya aja,, lain kali untuk shopee banyak''nyediakan gratis ongkir biar pembeli gk berat di ongkir"
858,"sangat membantu semogaa pihak shopee ny bisa lebih teliti dalam produk yang dijual biar g ad yang palsu² gitu, jadi g ngerugiin nama shope hhe"
859,"Selama belanja di shopee selalu aman ga pernah kecewa, layanan paylatter nya juga sangat oke, bunga nya relatif kecil. mudah""an saya juga bisa menikmati layanan spinjam seperti pengguna lain. Terimakasih shopee."
860,"Aplikasinya sangat bagus untuk transaksi jual beli, belanja jadi lebih mudah, produknya juga banyak yang bagus. Puas dengan pelayanan dan kerja kerasnya, pencegahan akun dari pihak yang ingin mencuri data sangat baik. Terimakasih Shopee"
861,"Bobrok, top up shopee pay kelamaan, gak masuk2.. top up aplikasi sebelah cepet, disini nunggu 1 x 24 jam.. ngalah2in isi pls di konter aja nih aplikasi.. jangan mau pakai shopee pay kalo gini caranya"
862,"Males sekarang shopee ga seasik dulu, free ongkir harus pakai shopee pay terus bye ah RIBA. Ditambah pengiriman kurir gabisa milih, makin males. Belanja online beralih ke si hijau"
863,Selama ini setelah berbelanja menggunakan shopee belum ada kendala apapun.
864,"Padahal dulu waktu baru baru makai aplikasi shopee pengemasan dan pengiriman nya cepet. tapi sekarang pengemasan dan pengiriman nya lama banget, voucher juga sudah jarang ada, banyak buat pengguna shopeepay aja"
865,"Sangat memuaskan , terimakasih, makin sukses shopee"
866,"Aplikasi shopee menurut saya aplikasi belanja yang benar-benar nomor 1, mereka bertanggung jawab sekali atas kesalahan toko-toko yang khilaf. Terimakasih min karena melalui shopee saya bisa belanja keluar pulau dan selalu menikmati gratis ongkir."
867,Buruk. Setelah diupdate malah ngga bisa login. Jasa kirim otomatis dipilihkan shopee. Tidak fair. Giliran pembeli mau ubah opsi jasa kirim eh sudah keduluan seller acc jasa kirim. Ongkir id express yang tadinya cuman 7500 semenjak ada kebijakan shopee yang baru jadi 12.000. Korupsi.
868,Aplikasi nya bagus cuma saya sedikit kecewa karena saya sudah 6 kali mengajukan pinjaman di shopee leater tapi belum pernah sukses padahal saya sudah lama menggunakan aplikasi shopee belanja pun sering dan saya juga kecewa saya tidak bisa menghapus akun shopee saya
869,"Aplikasi ngeselin, emosi, ketika checout ga bisa terus, katanya terlalu banyak penggunaan, ya kalo ga mau banyak yang beli atau checkout skalian ga usah bikin event, kalo perlu ga usah jualan hapus aja lah aplikasi ini, lemotnya minta ampun, percuma update untik 12.12 kalo sama aja malah lebih parah ga bisa nanggug yang ikut, padahal yang kemarin tidak seperti ini, dan di eventnya makin lama di dikitin kapasitasnya. Halah mau tes aplikasi lain aja katanya bnyk yang lebih bagus, kalo bagus pindah aja"
870,Harus ditingkatkan pengawasan penjual lapak serta menindak tegas yang menjual produk tidak layak/non sni Voucher dan cashback harus bisa dipakai ketika menggunakan shopeepay.
871,aku tidak suka aplikasi ini sudah tidah jaman jadi aku shopee yang biasa bukan shopee ramadan
872,"Tolong balikin uang saya, aplikasi macam apa ini"
873,"Sangat memuaskan belanja di,shopee.yuk gaes ikutan belanja d shopee"
874,Ini shopee kenapa sih update pembaruan mulu baru jg diupdate kmren eh ini update lagi ttep aja lemot. Td abis isi shopeepay pas mau belanja lagi malah lola banget pdahal jaringan udh 4G kuota jg masih banyak.
875,Dah dikasi 5star..selama blnj di shopee blm prnh bermasalah..shopee shopee shopee...sop sapi????
876,"Semakin oke shopee, sarannya sich jika semua toko mencapai batas pembelian dengan pembayaran mengunakan shopee pay, 0 ongkir aja semuanya toko dan tidak dikenakan ongkir sepeser pun untuk memudahkan transaksi pembelian dengan mudah."
877,Bagus terimakasih shopee
878,Shopee sangat keren aku suka shopee
879,"Aplikasi online shop ini bagus sih..... Bisa gratis ongkir sampe Rp0 tapi sayangnya gk semua produk bisa sampe segitu ongkirnya. dan jasa pengiriman shopee express standard juga nggak bisa cod lagi.... sayang banget, jadi kalau mau cod yah harus pakai j&t yang ongkirnya mahal banget. produk yang di ke...Ulasan Lengkap"
880,Sekarang lebih suka belanja di shopee karena promo free ongkirnya??
881,"Tadinya bete, karena cek status pembelian belum muncul2 di web. Padahal dah tf via ATM. Pesan produk banyak lagi. Terus jadi cemas gara2 sudah tf dana... eh gak tau cara konfirmasinya.... bayangan duit angus sudah terngiang-ngiang di kepala..... Syukur Alhamdulillaah... ternyata 3 hari kemudian barangnya dah dianterin sm kurir.... Trimks shopee... maaf yaa.. dah kasih 1 * (bintang) di tgl 8 Jan 2021. Skr aku ralat nii... bintangnya full.. 5 bintang buat shopee.... ??????????"
882,"Pelanggan setia .. Sampe dapat aplikasi shopee pinjam . tapi sayang.nya stelah pengajuan d setujui pd hari yang sma ketika pengajuan smpe sekarang dana ga cair"" .. Udh semingguan .. Complain chat . email ga ad hasil .. Judul.nya d php.in nihh sma shopee"
883,Akun saya d pakai org lain yang mengaku sebagai orang shopee dan meminta kode dari sms tolong privasi keamanan akun penipuan meraja lela dan di salah gunakan oleh pihak yang tidak bertangung jawab...
884,Giliran ada acara 12 12 eror mulu mau check out barang.
885,"tiap ikut lomba shopee joget poin sll 0 padahal dh sampai akhir mulu,bnyk kecurangan dr pihak shopee dlm acara,terus suruh maen ngapain kl yang menang udh di lock ,kl bkn karena uangku dh di shopee pay udh ku delete nyesel percaya,suruh belanja udh belanja juga."
886,Toplah shoppee....
887,"Love shopee , mudah berbelanja di shopee, ayok kakak semuanya online ke shopee, banyak gratis ongkir, voucher, and casback ??????"
888,Shopee online shop terpercaya lh pokoknya
889,Saya sangat suka belanja di shopy banyak diskon dan ada shopy pay later bisa di cicil
890,shopee makin cakep ????
891,"Ada penipuan berkedok kode verifikasi , tolong ditindak lanjuti keamanan dalam shopee"
892,Barang-Barang di Shopee memang mantap.semua asli Original dan sesuai Gambar. Sukses terus dan lebih ditingkatkan kualitasnya.. Shopee is the best... dari awal selalu pakai jasa Online Shopee.. terimakasih..
893,"saya suka banget sama shope sekarang dari pada yang dulu meskipun bayar pakai shopee pay tapi enak banget sering dapat gratis ongkir ?? Pokoknya love sama shopee meski kata orang gak enak padahal enak banget loh Belanja di shopee ? Tapi , diperbaiki lagi agar tidak ke logout sendiri ??"
894,"Saya memperingatkan pada shopee Jangann keluar di google ganggu ajaaa mau download lagu parah aplikasi shopeeee keluar jadinya g bisa download lagu saya peringatkan untukkk tidakk keluarrr di googel,chrome,danbrowserr.Kalo di iklan gamee youtube g masalahhh!!!!!!!!!!"
895,Saya kecewa sama pihak shopeee. karena 3 hari yang lalu saya di tipu. Saya ditelpon dr pihak shopeee katanya lalu menyuruh saya isi shooppay 300 ribu lalu saya isi dan langsung diketika itu uang saya hilang di akun shopeee nya...
896,Shopeepaylatter tidak muncul?
897,Kenapa COD tidak pernah barang diantarkan. Apalagi kalau kurirnya JNT. shopee harus tegas terhadap ini. Kalau tidak sanggup pihak KURIR JNT Mengantarkan pakait COD. lebih baik tidak usah dibuat COD atau kerjasama dengan pihak kurir tersebut. Hanya membuat kecewa pelanggan saja.
898,Responnya cepat.belanja di shopee aman dan mudah
899,"Trmksih shopee saya suka,pengiriman barang selalu cepat,barang tidak mengecewakan,,pokoknya the best buat shopee????????"
900,kenapaa tidak ada sope pay laternya yaaa punyak aku .. padahl aku da lama pakai
901,"Sebenernya shopee ini bagus, cuman saran aja kembaliin fitur di wishlist yang ga sekaligus ketandain, biar kita ga susah ubah pesanan satu2 yang ada di wishlist pas mau cekout barang tertentu. Terus cek koinnya jangan pelit2lah kasih koinnya, dikurangin mulu sih jumlah koin per harinya ??"
902,Puas banget belanja di shopee
903,Shopee de besss dahh
904,.shopee mantul
905,"Gtw,shoppe maksa gw buat kasi nilai,ya gw kasi sekarang"
906,Belanja online ku hanya di shopee aja ??
907,"Kecewa sama Shopee kecewanya karena enggak bisa milih opsi pengiriman,. ?????? Lama-lama banyak yang akan meninggalkan aplikasi Shopee"
908,"Aku suka main shopee tanam tapi kenapa sekarang ada fitur ambil air punya teman kan sama saja mengajarkan mencuri karena belum tentu temannya mengizinkan, pdhal sblmnya sudah bagus dengan saling siram kita diajarkan untuk saling memberi tanpa takut harta kita berkurang. Walau cuma games seharusnya t...Ulasan Lengkap"
909,"sudah ke-3 kalinya akun saya selalu di blokir oleh pihak shopee, di saat saya sedang proses membeli , bagaimana jika barangsaya hilang? Atau barang saya tidak sampai? , makin lama makin geblek shopeee. Saya gamau tau akun saya kembalikan!!! Atau jika nnti barangsaya tidak datang saya akan laporkan."
910,"Alhamdulillah berkat kenal shopee sangat membantu saya untuk cari-cari barang.....terus hri saya ada kendala gak bs buka yang lain nya d aplikasi shopee, seperti shopee tanam,shopee later,dll kalo klik itu keluar aplikasi Mulu....itu kira2 kenapa ya mind????mohon pencerahan ny.... masalah nya saya menggunakan shopeepay later,takut pas waktunya pembayaran,d sengaja gak bayar lagi.....padahal akun nya gak bs ke buka....."
911,KURIR SHOPEEE KELAMAAN KALAU NGIIRIM LEBH BAIK ESKPEDISI YANG LAIN
912,"semakin kesini semakin buruk aplikasi shopee,baru isi saldo shopeepay langsung aplikasi nya dinonaktifkan,jangan di download daripada nyesel."
913,Knapa ya shopee tdak bisa d instal
914,"Dulu shope sangat bagus. sekarang malah mengecewakan. Balikin sistem yang kyak dulu. biar pembeli bisa ngegunain jasa JNT atau JNE lagi. Untuk sekarang ku kasih bintang satu dulu yak, kalu sudah balik lagi sistemnya. Akan ku ubah lagi kembali menjadi bintang 5."
915,"Saya melakukan pengisian pulsa dengan metode pembayaran transfer melalui bank, status di mbanking saya udh berhasil tapi status di shopee masih belum bayar juga !! Saldo sengaja saya sisain bwt isi pulsa tapi malah kesedot ga guna !!"
916,Cinta banget sm shopee
917,Shopee lemot busuk banget
918,"Kenapa setiap saya ingin membeli produk, alamat tidak didukung,pdahal alamat yang saya masukan sudah benar dan di alamat lengkap tidak menulis lebih dari 90 karakter, jasa kirim selalu tidak tersedia dan saya tidak bisa membeli barang² yang ada di shopee"
919,"Saya menggunakan shopee bagi saya sangatlah praktis,mudah...karena saya seorg wanita bekerja... Butuh apapun yang harga sesuai...tinggal masukkan ke keranjang Sangat praktislah...walaupun terkadang mndapat barang yang tidak sesuai..namun itu sudah konsisten"
920,Saya sangat kecewa dengan shope di saat saya tidak bisa mengaktifkan shopepay..mereka tidak mau mengembalikan dana saya ke rek.bank BRI yang saya ajukan...mereka maksa untuk berusaha terus aktifasi shopepay padahal walaupun hari2 mendaftar di shopepay selalu gagal Terus...jika saya menelpon ke no.shopee mereka kadang ngejawab kadang juga diem...padahaal pulsa saya uddah banyak di makan..tolong yaaa buat piihak shope jangan buat susah kami tolong. Dana saya. Segera di kembalikan??????
921,Gimana sih paket CODnya kok ga jelas gini
922,"kalau ada belanja onlin lebih mudah,belanja tidak perlu keluar rumah tinggal menunggu saja di rumah meski beberapa hari,semoga di per kilat waktu pengiriman biar orang suka belanja onlin,sukses buat shopee"
923,"Selalu belanja di Shopee dan alhamdulillah belum pernah kecewa dengan aplikasinya,hanya saja ingin komplain soal ekspedisi J&T di Balikpapan, kenapa selalu memberitahukan barang sudah saya terima padahal sebenarnya barang blm ada dirumah saya, dan biasanya keesokan hari baru diantar,itu sering kali te...Ulasan Lengkap"
924,"Suka belanja dishopee, terpercaya dan terbaik deh pokoknya"
925,"Shopee aplikasi ok sih, tapi saya mau belanja di shopee pas saya mau chekout, kok tiba2"" ada masalah ya, kyak nggk ada rincian belanjaan gtu"
926,Beruntung bngt pke shopee??????
927,Kalau buka Shopee tanam slalu ga bisa... Tanamannya ga bisa ke siram
928,shopee. solusi segala masalah
929,sudah bisa log in makasih shopee...ga jadi beli hp baru karena pakai hp lama masih bisa...tidak merepotkan...semoga lebih baik lagi ya
930,"Shopee nya kadang suka eror gak jelas banget.. sering banget voucher"" aku gak bisa di pakai.."
931,Aplikasi shopee penipu saldo shopee pay saya d bobol sama penjuallb
932,"Shopee tanamnya tidak berfungsi, tidak bisa dimainkan. Malahan hp saya jadi lag."
933,Shopee sekarang gratis ongkir memerlukan shopeepay kalau tidak ada shopeepay ya harus nanggung ongkir sendiri Dulu shopee banyak banget gratis ongkir sekarang berubah mungkin karena zaman...
934,Bagus bangaet pelayanannya memuaskan sekali Pokoknya terbaik deh shoppeee!!! Belanja online no 1 dengan kualitas Yang bagus dan murah meriah.... Promo gratis ongkirnya the bestttt banget... Tapi sayang sudah gak bis. Milih jasa kirim lagiii..... Tingkt kan lagi pelayanannya good jobbb the best mas brooo!!!!!!!! ¡!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
935,"Shopee sudah makin nggak bener nih pengembalian dana di persulit ,dikasih forum diskusi tapi pihak shopee sama sekali tidak memberikan kejelasan"
936,"Pokoknya saya puas belanja di shopee, sukses terus buat shopee"
937,"Hallo shopee, saya mau mengucaplikasian terima kasih, karena sudah menanggapi dengan baik permasalahan yang saya alami kemarin, dan sekarang permasalahannya sudah selesai, karena akhirnya pembayaran SPinjam saya sudah terferivikasi oleh pihak shopee, CS yang nelpon saya dr pihak shopee juga sopan banget kemarin nelponnya, terima kasih shopee, sukses selalu ??????????"
938,Nyaman belanja d shope...jadi g ribet
939,"Bagus dn mntapi cumann......ap gunanya perpanjang masa pembayaran,,tiba2"" di cancel sndari olh pihak sophee"
940,"Mantap pokoknya kalau belanja di shopee barang sesuai pilihan dan bagus,respon toko dan pengiriman cepat ????????"
941,Bagus banget aplikasi shopee nya
942,Shopee adalah yang terbaik
943,"Saya sangat suka belanja disini tapi sayang kenapa aplikasi shoppe ini jrngan nya selalu lelet, mohon segera di perbaiki??"
944,"Setiap buka aplikasi, belum pun muncul gambar tiba2 aplikasi shopee ku tertutup sendiri.. padahal aku mau belanja :'("
945,Terimakasih shopee
946,Bagaimana dengan shopeepay sekarang???kok gk bisa top up?
947,Permisi mengganggu pihak shopee akun saya yang biasa di pakai jadi hilang sekarang pakai akun yang dulu.pihak shopee saya minta tolong kembalikan akun saya
948,"Dulu abis bayar done, tinggal tunggu barang sampe, sekarang, setelah bayar harus pasang timer 1 jam buat buka aplikasi nya lagi, jangan sampe lupa kalau mau ganti kurir. ""Shopee pilihkan kurir yang terbaik"", saya dapatnya kurir yang sudah saya blacklist, gara2 pelayanannya yang buruk sekali, dan mengulang kesalahan yang sama. update ko mlh ngerepotin ya?? Semoga semua keluhan user shopee masalah kurir d jadikan masukan untuk update selanjutnya, supaya tidak pada pindah ke toko sebelah??"
949,"Ah,Kenapa ini Shopee lama amat buat nunggu Kabar antar Kirim Pesanan kok malah bertele2 updatetan ya,belum lama saya pakai,Aplikasi kok kayaK Abal2 dikit2 Upgrade tan apa sih yang mau diupgrade, apa ada lagi tentang Virus atau masalah Tanggulasi Pandemi Budidaya Tunggu Bilang Operasional Corona Ya Shopee."
950,selalu belanja di shopee...
951,Suka bisa berlangganan di shopee.. tapi saldo shopeepayku di bekukan karena kemarin salah pin tolong dong di aktifkan lagii supaya saya bisa belanja lagii...
952,Shopee sekarang jelek ihh nggak ada gratis ongkir cod ataupun gratis ongkir alfamart/indomaret jadinya kan males harus beli shopeepay dulu nyusahin aja!! Direstart juga susah aplikasinya mau daftar spaylater susah banget suruh restar terus sudah direstart tetep aja nggak bisa males!!
953,"Di masa pandemi ini belanja online adalah solusinya, suka masa shopee??"
954,"Ampas banget,isi saldo shopeepay pay ga tau kapan masuknya,keburu barang pesenan abis....su asu"
955,Shopee sangat bagus.kurir2 nya ramah.banyak diskon meriah.harganya terjangkau
956,saya kecewa kenapa sekarang Shopee sangat eror. Mau checkout aja susah
957,Lambat banget shopee sekarang
958,"Duit shopeepaylaternya masuk otomatis, jadi makin gk enak buka aplikasi. Takut disalahgunain org lain, harusnya dananya masuk pas di ajukan aja, bukan masuk otomatis. Padahal suka liat produk2 walaupun gk belanja yang kadang ujung2nya belanja. Jadi mau tidak mau appnya gw hapus. Gk enak aja sama teman...Ulasan Lengkap"
959,"hallo shopee, kenapa limit shopee paylater sy jadi turun.sy selalu tepat bayar cicilan. apa shopee sudah bangkrut dan tidak dapat lagi dana shopee paylater?atau shopee kena corona?"
960,"Saya tidak bisa menggunakan shopee dengan baik karena sistem nya cod semua padahal saya tidak mengotak ngatiknya sehingga jasa kirim ke kota saya tidak bisa,mohon di perbaiki shopee ku??"
961,"Turunin 1 bintang,sudah 3 bulan lebih shopee paylater gua ga pernah naek lagi, limit nya turun tanpa sebab ga jelas, auto pindah toko ijo"
962,Shopee jangan mencuri! Shopee jangan mencuri! LEBIH KERAS! Tolong ilangin fitur curi air nyaaa dongg;(
963,"Saya senang pakai shopee, selama order gak pernah barang diterima cacat. tapi kenapa akun saya di nonaktifkan untuk COD. Padahal gak pernah menggagalkan orderan secara sepihak. Dari pelapaknya yang barang kosong"
964,"Harusnya shoppe banyakin promo dong, jangan Cuma lemot doang gini"
965,Shopeepay joss ??
966,lumayan lah belanja di shopee banyak kemudahan dan banyak voucher nya juga..
967,"Makin kesini shopee makin pelit gratis ongkir sudah gak ada , sudah gitu sekarang sekalinya ada gratis ongkir cuma buat shopee pay , padahal dulu shopee pay bisa paylater bisa dan transfer pun bisa tapi sekarang nihil sudah gak seperti dulu lagi , mending sekarang beralih ke apl yang lain"
968,Aku suka aku belanja di shopee ini dari mula nya hidup virus covid 19 tapi ongkir/harga produknya tolong di potong agar lebih murah jadi bisa beli banyak
969,"Aplikasi shopee busuk, banyak iklannya"
970,Shopee kurang belajar masa alat dj aku belum datang sampai sekarang yasar kali padahal aku pesan ya dari tanggal 8 sampa 21 ga datang datang peyu
971,"Selama beli di shopee alhamdulilah gak pernah ketipu sih,,cuma untuk sekarang yang agak bikin kesel dan ribet gak bisa pilih jasa kirim gk kayak dulu,,biasanya selalu pilih j&t kalo sekarang tergantung shopeenya,,tolong untuk kedepannya lebih diperbaiki lagi ya,,"
972,"12.12 gak bisa cekout apa"" aplikasi yang aneh, saldo juga ilang pas di cek gk muncul yang ada cuma koin pdhal saldo masih"
973,Kok shope ini lambat ya Gw pikir shope ini cepat? Ehh ternyata Lambatnya minta ampunn
974,"Beli Pulsa di shoppe kok di batasin sih, jadi buat apa klaim voucher kalo gak bisa beli pulsanyaaa"
975,"hati2 kena tipu oknum. data no tlp bisa bocor. kesel banget rugi 1,2 jt. pihak shopee nangani. tapi terkesan tidak mau tau. tak sarain jangan aktifin shopee pay later."
976,sudah 2th pakai shopee. Sering belaja. Level silver Spay leter ga muncul2 juga di akun saya. Mungkin ga boleh pakai cicilan kali ya.. Temen saya baru 4bln sudah muncul spayleter nya.. Ya sudah lah. Tetap bintang 5 buat shoppe
977,Ak suka dengan aplikasi ini bisa belanja2 makasih ya shopee
978,"Pengirimannya pilih yang shopee express sameday tapi udh 3 hari gak sampe"", disebelah yang reguler aj bisa 1-2 hari sampe"
979,"Habis diupdate terbaru shopee tidak bisa digunakan tolong diperbaiki terimakasih sudah clear cache, logout login ulang, di restart hp, yang terakhir uninstall Terus install ulang, tetap sama kak... Buka game shopee sama sekali ga bisa tolong dibantu kak, terimakasih Terimakasih kaka atas bantuan nya, sekarang apl shopee sudah bisa digunakan untuk berbelanja juga bermain game shopee. Terimakasih respon nya cepat."
980,Shopee keren cuman ada yang jual terlalu mahal barangnya mesti seken
981,Akun google gw jadi hilang gara gara daftar shopee
